Campaign_ID,Send_Date,Emails_Sent,Emails_Delivered,Unique_Opens,Open_Rate,Total_Clicks,Unique_Clicks,Click_Rate,CTR,Bounces,Bounce_Rate,Unsubscribes,Unsubscribe_Rate,Spam_Complaints,Spam_Rate,Conversions,Conversion_Rate,Revenue,Revenue_Per_Recipient,Audience_ID,Platform
CAM0015,16-02-2024,22446,18384,2662,14.48,212,171,0.93,1.15,4062,18.0968,46,0.2502,232,1.262,715,3.8893,7137.6,0.388251,AUD0011,Sendgrid
CAM0068,13-05-2024,50063,41979,9531,22.7,7178,2762,6.58,17.1,8084,16.1477,372,0.8862,8,0.0191,135,0.3216,436.79,0.010405,AUD0108,Salesforce
CAM0075,24-12-2024,9695,8529,2040,23.92,1222,484,5.67,14.33,1166,12.0268,129,1.5125,38,0.4455,256,3.0015,2375.09,0.278472,AUD0076,Salesforce
CAM0070,26-10-2024,41068,39845,5032,12.63,5824,3288,8.25,14.62,1223,2.978,428,1.0742,414,1.039,125,0.3137,2153.63,0.05405,AUD0015,Sendgrid
CAM0152,26-11-2024,4828,3789,784,20.69,190,132,3.48,5.01,1039,21.5203,24,0.6334,33,0.8709,17,0.4487,98.8,0.026075,AUD0233,Salesforce
CAM0027,31-08-2024,14479,13212,7672,58.07,756,620,4.69,5.72,1267,8.7506,254,1.9225,129,0.9764,286,2.1647,4024.29,0.304594,AUD0018,Sendgrid
CAM0145,07-03-2024,29694,25211,2666,10.57,1958,1014,4.02,7.77,4483,15.0973,18,0.0714,140,0.5553,88,0.3491,951.79,0.037753,AUD0015,Sendgrid
CAM0069,07-10-2024,61143,53127,9951,18.73,5289,1778,3.35,9.96,8016,13.1102,1363,2.5656,491,0.9242,2270,4.2728,28613.16,0.53858,AUD0167,Klaviyo
CAM0179,17-01-2024,37173,35712,17034,47.7,3824,2253,6.31,10.71,1461,3.9303,314,0.8793,353,0.9885,146,0.4088,2841.35,0.079563,AUD0081,Klaviyo
CAM0094,05-03-2024,99291,83034,45551,54.86,19173,7698,9.27,23.09,16257,16.3731,794,0.9562,326,0.3926,276,0.3324,4963.97,0.059782,AUD0227,Sendgrid
CAM0186,18-11-2024,80714,65062,24468,37.61,6038,4055,6.23,9.28,15652,19.3919,1198,1.8413,814,1.2511,471,0.7239,2609.5,0.040108,AUD0129,Klaviyo
CAM0020,29-01-2024,76301,66911,13230,19.77,16343,5934,8.87,24.42,9390,12.3065,554,0.828,530,0.7921,404,0.6038,5380.86,0.080418,AUD0169,Mailchimp
CAM0120,07-07-2024,74078,60509,11905,19.67,7429,3713,6.14,12.28,13569,18.3172,259,0.428,657,1.0858,378,0.6247,1799.76,0.029744,AUD0184,Klaviyo
CAM0008,30-11-2024,38223,35311,12614,35.72,5645,2761,7.82,15.99,2912,7.6184,911,2.5799,145,0.4106,145,0.4106,365.46,0.01035,AUD0041,Mailchimp
CAM0100,13-07-2024,1545,1536,730,47.53,80,72,4.69,5.21,9,0.5825,8,0.5208,19,1.237,9,0.5859,88.55,0.05765,AUD0192,Klaviyo
CAM0005,02-05-2024,39999,38932,13612,34.96,2050,907,2.33,5.27,1067,2.6676,920,2.3631,218,0.56,1197,3.0746,14267.4,0.36647,AUD0029,Sendgrid
CAM0193,26-01-2024,102440,82670,17121,20.71,1167,750,0.91,1.41,19770,19.2991,1096,1.3258,383,0.4633,3561,4.3075,12084.05,0.146172,AUD0052,HubSpot
CAM0151,06-02-2024,80576,66720,7232,10.84,1416,507,0.76,2.12,13856,17.1962,1754,2.6289,112,0.1679,2603,3.9014,11658.27,0.174734,AUD0237,Sendgrid
CAM0029,02-04-2024,15621,13303,3786,28.46,1245,516,3.88,9.36,2318,14.839,160,1.2027,66,0.4961,60,0.451,822.72,0.061845,AUD0121,Klaviyo
CAM0124,04-01-2024,31390,30989,11428,36.88,3712,1421,4.59,11.98,401,1.2775,859,2.772,284,0.9165,224,0.7228,1252.45,0.040416,AUD0139,Sendgrid
CAM0230,06-06-2024,6406,5757,1026,17.82,733,409,7.1,12.73,649,10.1311,40,0.6948,6,0.1042,248,4.3078,2787.33,0.484164,AUD0199,Sendgrid
CAM0125,29-01-2024,3649,3540,829,23.42,209,79,2.23,5.9,109,2.9871,18,0.5085,35,0.9887,12,0.339,206.77,0.05841,AUD0017,Sendgrid
CAM0209,19-02-2024,13273,11237,2609,23.22,479,339,3.02,4.26,2036,15.3394,41,0.3649,51,0.4539,403,3.5864,5814.08,0.517405,AUD0188,HubSpot
CAM0165,27-04-2024,27742,24647,10855,44.04,3581,1998,8.11,14.53,3095,11.1564,609,2.4709,307,1.2456,465,1.8866,7409.15,0.300611,AUD0166,Sendgrid
CAM0149,10-03-2024,43172,36586,16393,44.81,1828,672,1.84,5,6586,15.2553,429,1.1726,321,0.8774,118,0.3225,2097.96,0.057343,AUD0055,Salesforce
CAM0155,06-08-2024,12253,11260,6593,58.55,823,524,4.65,7.31,993,8.1041,160,1.421,32,0.2842,35,0.3108,159.35,0.014152,AUD0118,Mailchimp
CAM0229,28-03-2024,42251,33486,6655,19.87,7188,2693,8.04,21.47,8765,20.7451,952,2.843,84,0.2509,1339,3.9987,16583.9,0.495249,AUD0146,Klaviyo
CAM0287,16-10-2024,2796,2434,622,25.55,192,115,4.72,7.89,362,12.9471,63,2.5883,33,1.3558,54,2.2186,238.7,0.098069,AUD0002,Klaviyo
CAM0020,31-10-2024,68698,68266,27598,40.43,2363,1857,2.72,3.46,432,0.6288,304,0.4453,414,0.6065,509,0.7456,2393.71,0.035064,AUD0083,Mailchimp
CAM0124,03-12-2024,1805,1497,290,19.37,83,43,2.87,5.54,308,17.0637,3,0.2004,15,1.002,9,0.6012,79.57,0.053153,AUD0205,Sendgrid
CAM0045,05-08-2024,60307,51774,26104,50.42,4467,2410,4.65,8.63,8533,14.1493,1210,2.3371,475,0.9174,236,0.4558,3863.25,0.074618,AUD0250,HubSpot
CAM0241,11-08-2024,8663,8430,922,10.94,459,264,3.13,5.44,233,2.6896,18,0.2135,119,1.4116,191,2.2657,955.23,0.113313,AUD0049,Klaviyo
CAM0016,08-01-2024,19561,17596,3771,21.43,1327,903,5.13,7.54,1965,10.0455,121,0.6877,189,1.0741,128,0.7274,393,0.022335,AUD0197,Sendgrid
CAM0219,13-07-2024,17153,15371,4894,31.84,3792,1459,9.49,24.67,1782,10.3889,374,2.4332,184,1.1971,109,0.7091,89.33,0.005812,AUD0053,HubSpot
CAM0224,15-05-2024,60035,56091,32418,57.8,4815,3807,6.79,8.58,3944,6.5695,114,0.2032,317,0.5652,279,0.4974,4919.93,0.087713,AUD0003,Mailchimp
CAM0124,12-09-2024,54709,53450,11473,21.46,9146,4751,8.89,17.11,1259,2.3013,1250,2.3386,86,0.1609,380,0.7109,4948.65,0.092585,AUD0091,Sendgrid
CAM0268,08-12-2024,65405,55531,11963,21.54,2151,836,1.51,3.87,9874,15.0967,1011,1.8206,719,1.2948,2387,4.2985,3522.99,0.063442,AUD0205,Sendgrid
CAM0118,27-04-2024,47654,43725,8668,19.82,7228,3842,8.79,16.53,3929,8.2448,1039,2.3762,310,0.709,962,2.2001,9969.1,0.227995,AUD0205,HubSpot
CAM0028,05-05-2024,8900,7286,1782,24.46,186,64,0.88,2.55,1614,18.1348,171,2.347,37,0.5078,34,0.4666,370.89,0.050904,AUD0008,Mailchimp
CAM0101,27-08-2024,47201,39401,13542,34.37,8581,2965,7.53,21.78,7800,16.5251,583,1.4797,372,0.9441,1189,3.0177,18433.91,0.467854,AUD0191,Salesforce
CAM0252,13-05-2024,10501,9984,1316,13.18,384,130,1.3,3.85,517,4.9233,40,0.4006,69,0.6911,318,3.1851,1620.61,0.162321,AUD0200,Mailchimp
CAM0069,28-02-2024,45936,45533,16731,36.74,9243,3719,8.17,20.3,403,0.8773,89,0.1955,626,1.3748,2019,4.4341,3920.32,0.086098,AUD0095,Klaviyo
CAM0081,23-08-2024,112574,89005,45274,50.87,3117,2908,3.27,3.5,23569,20.9365,1696,1.9055,307,0.3449,327,0.3674,823.91,0.009257,AUD0097,Salesforce
CAM0107,04-02-2024,81689,74558,32888,44.11,2675,1635,2.19,3.59,7131,8.7294,1985,2.6624,856,1.1481,2336,3.1331,9033.17,0.121156,AUD0117,Sendgrid
CAM0275,19-05-2024,19125,18640,10654,57.16,2126,1418,7.61,11.41,485,2.5359,315,1.6899,52,0.279,346,1.8562,5956.22,0.31954,AUD0080,Klaviyo
CAM0224,05-10-2024,10307,8359,2301,27.53,559,341,4.08,6.69,1948,18.8998,204,2.4405,74,0.8853,49,0.5862,836.67,0.100092,AUD0081,Mailchimp
CAM0151,25-04-2024,25712,25079,11657,46.48,266,128,0.51,1.06,633,2.4619,157,0.626,367,1.4634,650,2.5918,5937.73,0.236761,AUD0073,Sendgrid
CAM0009,05-11-2024,119099,114240,27241,23.85,19370,9694,8.49,16.96,4859,4.0798,2076,1.8172,1581,1.3839,2092,1.8312,19999.91,0.175069,AUD0240,Sendgrid
CAM0259,07-07-2024,11392,8911,2446,27.45,1574,622,6.98,17.66,2481,21.7784,184,2.0649,10,0.1122,344,3.8604,2273.09,0.255088,AUD0119,Mailchimp
CAM0012,23-08-2024,103787,96169,32539,33.84,17350,6180,6.43,18.04,7618,7.34,1175,1.2218,919,0.9556,2274,2.3646,43157.7,0.448769,AUD0216,HubSpot
CAM0271,17-12-2024,39673,37266,11006,29.53,2161,1135,3.05,5.8,2407,6.0671,566,1.5188,180,0.483,842,2.2594,15395.92,0.413136,AUD0186,Klaviyo
CAM0210,28-11-2024,19087,15518,4617,29.75,2349,1383,8.91,15.14,3569,18.6986,46,0.2964,188,1.2115,55,0.3544,729.04,0.04698,AUD0094,Sendgrid
CAM0151,20-06-2024,75565,70721,11455,16.2,5348,4334,6.13,7.56,4844,6.4104,708,1.0011,918,1.2981,3046,4.3071,25906.22,0.366316,AUD0022,Sendgrid
CAM0060,01-03-2024,1877,1525,373,24.46,281,117,7.67,18.43,352,18.7533,18,1.1803,10,0.6557,46,3.0164,669.02,0.438702,AUD0247,Sendgrid
CAM0084,21-12-2024,20707,19026,3227,16.96,1943,1220,6.41,10.21,1681,8.118,438,2.3021,52,0.2733,564,2.9644,1117.82,0.058752,AUD0028,Mailchimp
CAM0098,10-08-2024,43966,36743,12767,34.75,5127,2439,6.64,13.95,7223,16.4286,123,0.3348,115,0.313,767,2.0875,10175.54,0.276938,AUD0122,Sendgrid
CAM0300,06-10-2024,100151,96449,9903,10.27,15517,5740,5.95,16.09,3702,3.6964,686,0.7113,1239,1.2846,317,0.3287,4129.29,0.042813,AUD0161,Salesforce
CAM0036,15-06-2024,23670,22790,2941,12.9,4892,1908,8.37,21.47,880,3.7178,261,1.1452,102,0.4476,818,3.5893,14500.68,0.636274,AUD0007,Salesforce
CAM0296,21-02-2024,47111,40519,6478,15.99,3444,1878,4.63,8.5,6592,13.9925,617,1.5227,246,0.6071,1706,4.2104,4312.14,0.106423,AUD0014,Sendgrid
CAM0267,10-05-2024,7691,6876,1487,21.63,684,385,5.6,9.95,815,10.5968,204,2.9668,77,1.1198,279,4.0576,3804.87,0.553355,AUD0011,HubSpot
CAM0012,23-04-2024,6081,5782,996,17.23,1523,538,9.3,26.34,299,4.917,87,1.5047,55,0.9512,179,3.0958,2993.28,0.517689,AUD0145,HubSpot
CAM0068,01-02-2024,68759,58470,27078,46.31,4409,2445,4.18,7.54,10289,14.9639,1660,2.8391,353,0.6037,257,0.4395,3863.85,0.066083,AUD0167,Salesforce
CAM0205,23-04-2024,39545,34546,5086,14.72,1556,1144,3.31,4.5,4999,12.6413,639,1.8497,371,1.0739,171,0.495,568.44,0.016455,AUD0068,Sendgrid
CAM0261,28-06-2024,10343,8497,755,8.89,653,599,7.05,7.69,1846,17.8478,45,0.5296,32,0.3766,33,0.3884,642.36,0.075598,AUD0214,Mailchimp
CAM0163,11-10-2024,37384,35048,19892,56.76,6897,3228,9.21,19.68,2336,6.2487,908,2.5907,455,1.2982,119,0.3395,2061.4,0.058816,AUD0117,Klaviyo
CAM0048,28-07-2024,59025,47986,22811,47.54,6391,2921,6.09,13.32,11039,18.7022,891,1.8568,416,0.8669,1546,3.2218,20419.43,0.425529,AUD0242,Salesforce
CAM0298,18-07-2024,67830,63091,8685,13.77,4020,3609,5.72,6.37,4739,6.9866,1660,2.6311,403,0.6388,195,0.3091,2714.34,0.043023,AUD0212,Mailchimp
CAM0101,30-05-2024,11516,10731,1206,11.24,568,408,3.8,5.29,785,6.8166,56,0.5219,54,0.5032,350,3.2616,1461.87,0.136229,AUD0209,Salesforce
CAM0268,16-10-2024,3657,2855,1166,40.84,138,102,3.57,4.83,802,21.9305,22,0.7706,22,0.7706,69,2.4168,989.51,0.346588,AUD0113,Sendgrid
CAM0098,27-09-2024,47067,42309,6945,16.41,4955,1891,4.47,11.71,4758,10.109,234,0.5531,494,1.1676,1638,3.8715,2813.64,0.066502,AUD0152,Sendgrid
CAM0226,03-06-2024,30063,26022,11520,44.27,1024,535,2.06,3.94,4041,13.4418,347,1.3335,97,0.3728,627,2.4095,10630.67,0.408526,AUD0188,Salesforce
CAM0291,18-03-2024,27606,26767,9123,34.08,5640,2404,8.98,21.07,839,3.0392,710,2.6525,83,0.3101,1070,3.9975,9037.68,0.337643,AUD0152,Mailchimp
CAM0221,03-01-2024,6619,5281,1345,25.47,187,83,1.57,3.54,1338,20.2145,87,1.6474,64,1.2119,212,4.0144,1769.9,0.335145,AUD0002,HubSpot
CAM0245,06-05-2024,2128,1867,389,20.84,313,107,5.73,16.76,261,12.265,6,0.3214,27,1.4462,7,0.3749,94.11,0.050407,AUD0163,Klaviyo
CAM0198,03-07-2024,52345,42594,23343,54.8,4061,3113,7.31,9.53,9751,18.6283,866,2.0332,543,1.2748,1607,3.7728,7816.79,0.183519,AUD0202,Klaviyo
CAM0148,31-01-2024,6622,5821,2282,39.2,1032,502,8.62,17.73,801,12.096,58,0.9964,81,1.3915,220,3.7794,3114.36,0.535021,AUD0086,Mailchimp
CAM0002,10-09-2024,53723,52907,17500,33.08,5067,2202,4.16,9.58,816,1.5189,685,1.2947,501,0.9469,1481,2.7993,17548.4,0.331684,AUD0067,HubSpot
CAM0108,08-05-2024,911,834,471,56.47,122,45,5.4,14.63,77,8.4523,20,2.3981,3,0.3597,2,0.2398,5.97,0.007158,AUD0069,Mailchimp
CAM0298,23-09-2024,20380,17844,5229,29.3,1745,870,4.88,9.78,2536,12.4436,67,0.3755,259,1.4515,87,0.4876,1491,0.083557,AUD0181,Mailchimp
CAM0122,04-08-2024,8592,7701,1813,23.54,706,521,6.77,9.17,891,10.3701,157,2.0387,114,1.4803,51,0.6623,175.35,0.02277,AUD0165,Salesforce
CAM0180,18-07-2024,13305,11455,5061,44.18,1966,951,8.3,17.16,1850,13.9045,263,2.2959,105,0.9166,315,2.7499,5252.29,0.458515,AUD0094,HubSpot
CAM0003,06-05-2024,5033,4275,795,18.6,592,271,6.34,13.85,758,15.0606,114,2.6667,10,0.2339,114,2.6667,1396.01,0.326552,AUD0018,Salesforce
CAM0142,02-04-2024,57536,52649,4459,8.47,3965,2485,4.72,7.53,4887,8.4938,238,0.4521,681,1.2935,163,0.3096,933.71,0.017735,AUD0195,Klaviyo
CAM0198,01-12-2024,31641,25650,10286,40.1,3450,1159,4.52,13.45,5991,18.9343,243,0.9474,294,1.1462,859,3.3489,7068.68,0.275582,AUD0179,Klaviyo
CAM0089,22-08-2024,853,768,282,36.72,75,47,6.12,9.77,85,9.9648,15,1.9531,2,0.2604,3,0.3906,37.64,0.04901,AUD0174,Mailchimp
CAM0231,24-05-2024,9813,8509,1013,11.91,1182,454,5.34,13.89,1304,13.2885,205,2.4092,108,1.2692,29,0.3408,275.79,0.032412,AUD0213,Mailchimp
CAM0023,07-07-2024,38376,36854,12894,34.99,3374,2389,6.48,9.16,1522,3.966,815,2.2114,298,0.8086,1193,3.2371,23795.83,0.645678,AUD0160,HubSpot
CAM0013,14-09-2024,19699,18653,6668,35.75,918,563,3.02,4.92,1046,5.3099,445,2.3857,48,0.2573,658,3.5276,10673.4,0.572208,AUD0119,Sendgrid
CAM0084,10-12-2024,1799,1529,258,16.87,383,129,8.44,25.05,270,15.0083,8,0.5232,3,0.1962,46,3.0085,378.85,0.247776,AUD0020,Mailchimp
CAM0100,30-01-2024,796,715,392,54.83,8,4,0.56,1.12,81,10.1759,6,0.8392,8,1.1189,3,0.4196,7.61,0.010643,AUD0154,Klaviyo
CAM0158,16-12-2024,15012,11711,6279,53.62,960,696,5.94,8.2,3301,21.9891,235,2.0067,8,0.0683,363,3.0996,4901.14,0.418507,AUD0011,Salesforce
CAM0021,20-11-2024,35945,32295,12976,40.18,3690,2422,7.5,11.43,3650,10.1544,830,2.5701,481,1.4894,1063,3.2915,9154.43,0.283463,AUD0069,Salesforce
CAM0101,26-12-2024,31506,24673,13847,56.12,2038,1171,4.75,8.26,6833,21.6879,21,0.0851,2,0.0081,474,1.9211,3425.03,0.138817,AUD0104,Salesforce
CAM0243,12-11-2024,26083,24605,7128,28.97,4127,1507,6.12,16.77,1478,5.6665,445,1.8086,238,0.9673,75,0.3048,1453.55,0.059075,AUD0088,Mailchimp
CAM0153,14-02-2024,12212,10542,1375,13.04,669,314,2.98,6.35,1670,13.6751,261,2.4758,154,1.4608,63,0.5976,1133.71,0.107542,AUD0164,Klaviyo
CAM0118,05-04-2024,575,501,188,37.52,50,26,5.19,9.98,74,12.8696,10,1.996,0,0,10,1.996,97.06,0.193733,AUD0238,HubSpot
CAM0170,24-12-2024,54822,53112,26444,49.79,956,423,0.8,1.8,1710,3.1192,346,0.6515,299,0.563,1942,3.6564,2773.77,0.052225,AUD0140,Mailchimp
CAM0081,04-02-2024,1055,1031,244,23.67,126,100,9.7,12.22,24,2.2749,18,1.7459,0,0,5,0.485,67.36,0.065335,AUD0130,Salesforce
CAM0192,18-04-2024,55804,50229,28286,56.31,7266,4156,8.27,14.47,5575,9.9903,470,0.9357,33,0.0657,1096,2.182,17177.95,0.341993,AUD0044,Sendgrid
CAM0006,07-04-2024,8156,6929,1794,25.89,1171,427,6.16,16.9,1227,15.0441,31,0.4474,96,1.3855,268,3.8678,1096.82,0.158294,AUD0068,Mailchimp
CAM0080,29-02-2024,24197,19523,1642,8.41,1532,535,2.74,7.85,4674,19.3164,382,1.9567,87,0.4456,769,3.9389,4262.63,0.218339,AUD0120,Mailchimp
CAM0131,31-07-2024,40778,36018,10163,28.22,4812,2031,5.64,13.36,4760,11.673,364,1.0106,324,0.8996,205,0.5692,1406.71,0.039056,AUD0124,Salesforce
CAM0126,27-01-2024,13133,12638,6385,50.52,1144,704,5.57,9.05,495,3.7691,188,1.4876,16,0.1266,274,2.1681,1916.31,0.151631,AUD0217,Salesforce
CAM0010,13-11-2024,46073,38097,6340,16.64,8928,3190,8.37,23.43,7976,17.3117,82,0.2152,424,1.1129,1091,2.8637,14552.89,0.381996,AUD0054,Mailchimp
CAM0155,19-02-2024,12480,12231,1410,11.53,1738,894,7.31,14.21,249,1.9952,339,2.7716,117,0.9566,71,0.5805,676.96,0.055348,AUD0101,Mailchimp
CAM0010,16-04-2024,10792,9405,2076,22.07,1529,621,6.6,16.26,1387,12.8521,176,1.8713,78,0.8293,350,3.7214,2367.39,0.251716,AUD0014,Mailchimp
CAM0256,20-08-2024,43062,35171,13502,38.39,2823,1195,3.4,8.03,7891,18.3247,376,1.0691,377,1.0719,154,0.4379,1296.46,0.036862,AUD0178,Sendgrid
CAM0135,29-10-2024,66344,56422,15317,27.15,829,732,1.3,1.47,9922,14.9554,587,1.0404,49,0.0868,385,0.6824,546.58,0.009687,AUD0108,Salesforce
CAM0084,15-10-2024,40937,37205,7974,21.43,2755,1791,4.81,7.4,3732,9.1164,271,0.7284,206,0.5537,885,2.3787,13771.8,0.37016,AUD0115,Mailchimp
CAM0096,18-04-2024,39502,34534,12260,35.5,6434,2611,7.56,18.63,4968,12.5766,131,0.3793,409,1.1843,1051,3.0434,7829.89,0.22673,AUD0029,HubSpot
CAM0278,22-07-2024,20179,18786,11076,58.96,1387,913,4.86,7.38,1393,6.9032,479,2.5498,170,0.9049,356,1.895,1784.16,0.094973,AUD0105,Sendgrid
CAM0167,29-08-2024,2591,2318,453,19.54,55,39,1.68,2.37,273,10.5365,6,0.2588,27,1.1648,14,0.604,72.42,0.031242,AUD0048,Klaviyo
CAM0055,26-10-2024,84950,75779,29739,39.24,4854,1690,2.23,6.41,9171,10.7958,1184,1.5624,578,0.7627,3184,4.2017,52012.74,0.686374,AUD0059,Klaviyo
CAM0024,24-03-2024,73483,58396,28794,49.31,5761,2954,5.06,9.87,15087,20.5313,45,0.0771,725,1.2415,1736,2.9728,11564.21,0.198031,AUD0124,Sendgrid
CAM0001,05-07-2024,8704,7375,1058,14.35,946,521,7.06,12.83,1329,15.2688,184,2.4949,24,0.3254,197,2.6712,968.32,0.131298,AUD0003,HubSpot
CAM0090,12-04-2024,27113,25845,8946,34.61,804,378,1.46,3.11,1268,4.6767,94,0.3637,166,0.6423,799,3.0915,4957.38,0.191812,AUD0090,HubSpot
CAM0078,04-01-2024,50506,44786,20705,46.23,3703,2107,4.7,8.27,5720,11.3254,237,0.5292,544,1.2147,1518,3.3895,2692.08,0.06011,AUD0176,Salesforce
CAM0065,03-03-2024,41183,34110,17160,50.31,1354,613,1.8,3.97,7073,17.1746,275,0.8062,194,0.5687,1345,3.9431,7543.92,0.221164,AUD0157,HubSpot
CAM0123,03-05-2024,30188,25762,10227,39.7,3963,1536,5.96,15.38,4426,14.6615,536,2.0806,45,0.1747,138,0.5357,1560.09,0.060558,AUD0247,Salesforce
CAM0012,31-03-2024,63374,52536,4666,8.88,12750,4784,9.11,24.27,10838,17.1017,1085,2.0653,271,0.5158,1080,2.0557,2329.77,0.044346,AUD0024,HubSpot
CAM0248,02-11-2024,78415,68069,23924,35.15,8297,6190,9.09,12.19,10346,13.1939,626,0.9197,287,0.4216,491,0.7213,7679.9,0.112825,AUD0231,Mailchimp
CAM0015,15-06-2024,10249,9358,5318,56.83,1768,793,8.47,18.89,891,8.6935,131,1.3999,52,0.5557,211,2.2548,3853.15,0.411749,AUD0042,Sendgrid
CAM0273,06-03-2024,6577,6295,3416,54.27,549,227,3.61,8.72,282,4.2877,67,1.0643,49,0.7784,45,0.7149,673.51,0.106991,AUD0076,Mailchimp
CAM0040,22-10-2024,7229,5917,693,11.71,862,448,7.57,14.57,1312,18.1491,97,1.6393,58,0.9802,212,3.5829,2715.38,0.458912,AUD0141,Klaviyo
CAM0108,02-01-2024,10196,9750,2297,23.56,1250,549,5.63,12.82,446,4.3743,265,2.7179,66,0.6769,32,0.3282,24.98,0.002562,AUD0021,Mailchimp
CAM0262,13-05-2024,43513,40962,14547,35.51,5747,3768,9.2,14.03,2551,5.8626,417,1.018,64,0.1562,171,0.4175,3173.13,0.077465,AUD0015,Salesforce
CAM0173,13-04-2024,28382,25166,13448,53.44,2452,1376,5.47,9.74,3216,11.3311,401,1.5934,33,0.1311,946,3.759,12245.79,0.486601,AUD0186,HubSpot
CAM0112,23-05-2024,28014,25032,6450,25.77,2400,1158,4.63,9.59,2982,10.6447,585,2.337,218,0.8709,862,3.4436,17001.99,0.67921,AUD0138,Klaviyo
CAM0144,08-01-2024,109852,98409,21950,22.3,19502,9059,9.21,19.82,11443,10.4167,2625,2.6674,43,0.0437,647,0.6575,8608.64,0.087478,AUD0138,Salesforce
CAM0076,09-11-2024,5969,5725,1783,31.14,595,342,5.97,10.39,244,4.0878,27,0.4716,74,1.2926,40,0.6987,476.46,0.083224,AUD0244,HubSpot
CAM0142,01-01-2024,14984,14339,3933,27.43,2145,927,6.46,14.96,645,4.3046,322,2.2456,116,0.809,44,0.3069,641.4,0.044731,AUD0134,Klaviyo
CAM0143,12-04-2024,98673,77217,39750,51.48,3409,2721,3.52,4.41,21456,21.7446,937,1.2135,866,1.1215,273,0.3535,3201.1,0.041456,AUD0151,Salesforce
CAM0052,01-07-2024,103688,93906,8022,8.54,18628,9020,9.61,19.84,9782,9.4341,2409,2.5653,1387,1.477,2469,2.6292,32351.82,0.344513,AUD0151,Klaviyo
CAM0278,06-09-2024,41807,35751,7384,20.65,3494,1627,4.55,9.77,6056,14.4856,745,2.0839,178,0.4979,1159,3.2419,2863.6,0.080098,AUD0024,Sendgrid
CAM0290,21-06-2024,66335,61969,6334,10.22,6176,2239,3.61,9.97,4366,6.5817,578,0.9327,666,1.0747,1461,2.3576,2715.61,0.043822,AUD0214,Sendgrid
CAM0147,04-07-2024,11747,11518,5683,49.34,900,638,5.54,7.81,229,1.9494,263,2.2834,25,0.2171,57,0.4949,269.73,0.023418,AUD0030,HubSpot
CAM0069,02-10-2024,46202,41100,16102,39.18,3437,2424,5.9,8.36,5102,11.0428,313,0.7616,382,0.9294,1521,3.7007,19346.07,0.470707,AUD0193,Klaviyo
CAM0058,28-11-2024,36187,30729,16421,53.44,6901,2346,7.63,22.46,5458,15.0828,97,0.3157,292,0.9502,795,2.5871,10716.88,0.348755,AUD0085,Mailchimp
CAM0040,01-09-2024,6132,5640,2975,52.75,690,467,8.28,12.23,492,8.0235,83,1.4716,16,0.2837,154,2.7305,2711.29,0.480725,AUD0166,Klaviyo
CAM0015,16-05-2024,13772,11866,2467,20.79,2531,1137,9.58,21.33,1906,13.8397,236,1.9889,149,1.2557,505,4.2559,4895.96,0.412604,AUD0112,Sendgrid
CAM0115,24-10-2024,12408,10897,5718,52.47,1139,618,5.67,10.45,1511,12.1776,251,2.3034,62,0.569,197,1.8078,3610.06,0.331289,AUD0196,Sendgrid
CAM0182,11-06-2024,39164,32039,3932,12.27,3959,2617,8.17,12.36,7125,18.1927,788,2.4595,329,1.0269,642,2.0038,11504.24,0.35907,AUD0219,Klaviyo
CAM0120,06-08-2024,82217,81791,26185,32.01,17656,7781,9.51,21.59,426,0.5181,534,0.6529,660,0.8069,546,0.6676,10058.08,0.122973,AUD0037,Klaviyo
CAM0212,11-07-2024,54186,51914,5309,10.23,2622,2100,4.05,5.05,2272,4.193,315,0.6068,438,0.8437,156,0.3005,1569.84,0.030239,AUD0237,Klaviyo
CAM0112,31-03-2024,7512,5872,905,15.41,485,263,4.48,8.26,1640,21.8317,164,2.7929,45,0.7663,121,2.0606,1555.86,0.264963,AUD0197,Klaviyo
CAM0195,15-09-2024,89161,74732,10488,14.03,8369,5733,7.67,11.2,14429,16.1831,736,0.9849,242,0.3238,1388,1.8573,11838.74,0.158416,AUD0012,Sendgrid
CAM0067,24-10-2024,52751,41655,14060,33.75,3107,1237,2.97,7.46,11096,21.0347,1148,2.756,538,1.2916,1454,3.4906,20348.85,0.488509,AUD0148,Salesforce
CAM0213,25-12-2024,617,556,94,16.91,84,31,5.58,15.11,61,9.8865,15,2.6978,4,0.7194,3,0.5396,52.46,0.094353,AUD0018,HubSpot
CAM0046,29-01-2024,99380,98048,13548,13.82,18833,7074,7.21,19.21,1332,1.3403,2267,2.3121,795,0.8108,4128,4.2102,12994.13,0.132528,AUD0008,Klaviyo
CAM0122,22-10-2024,32675,26352,5751,21.82,1422,623,2.36,5.4,6323,19.3512,343,1.3016,219,0.8311,145,0.5502,411.29,0.015608,AUD0119,Salesforce
CAM0214,22-09-2024,14348,13528,6985,51.63,2862,1122,8.29,21.16,820,5.7151,312,2.3063,8,0.0591,354,2.6168,1614.65,0.119356,AUD0214,Klaviyo
CAM0293,08-07-2024,66544,62777,34439,54.86,4711,3339,5.32,7.5,3767,5.6609,901,1.4352,616,0.9813,289,0.4604,3029.7,0.048261,AUD0118,Salesforce
CAM0239,14-04-2024,15837,13083,2978,22.76,673,655,5.01,5.14,2754,17.3897,103,0.7873,46,0.3516,238,1.8192,176.81,0.013514,AUD0139,HubSpot
